Blank_PCR,Blood,Menstrual.secretion,Nasal.mucosa,Saliva,Semen.fertile,Semen.sterile,Skin,Skin.penile,Vaginal.mucosa,HBB,ALAS2,CD93,HTN3,STATH,BPIFA1,MUC4,MYOZ1,CYP2B7P1,MMP10,MMP7,MMP11,SEMG1,KLK3,PRM1,RPS4Y1,XIST,ACTB,18S-rRNA,replicate_value
0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6524.0,0.0,0.0,426.0,3927.0,0.0,0.0,0.0,0.0,207.0,0.0,1402.0,1420.0,0.0,0.0,3716.0,5865.0,518.0,7090.0,4.0
0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6766.0,8973.0,2172.0,349.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7933.0,2316.0,5987.0,6862.0,6807.0,7106.0,7207.0,4.0
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5311.0,2401.0,0.0,578.0,5149.0,0.0,5098.0,0.0,0.0,0.0,0.0,0.0,9263.0,2436.0,6957.0,6733.0,0.0,6897.0,7590.0,4.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7386.0,3126.0,6087.0,3472.0,6996.0,2165.0,7679.0,460.0,171.0,4261.0,4183.0,6502.0,3897.0,4474.0,2585.0,5505.0,5725.0,7194.0,7277.0,4.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6434.0,827.0,423.0,0.0,0.0,0.0,8477.0,7776.0,0.0,1595.0,1110.0,4309.0,6014.0,1524.0,0.0,6491.0,5649.0,5714.0,7067.0,3.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,6547.0,1399.0,0.0,0.0,8512.0,7468.0,8162.0,4978.0,3983.0,0.0,0.0,0.0,6983.0,1294.0,1063.0,6535.0,214.0,4830.0,7439.0,4.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,6547.0,1399.0,635.0,8582.0,7877.0,0.0,8862.0,1552.0,321.0,0.0,0.0,0.0,5310.0,813.0,7594.0,7204.0,4662.0,6399.0,7439.0,4.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6210.0,8529.0,1409.0,0.0,8391.0,0.0,4319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.0,6902.0,7272.0,7070.0,4.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2474.0,0.0,0.0,0.0,0.0,0.0,6847.0,1563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5272.0,6240.0,4193.0,1.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5309.0,1262.0,951.0,3.0
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6665.0,0.0,0.0,0.0,1913.0,0.0,8234.0,1262.0,331.0,0.0,2405.0,0.0,0.0,0.0,7537.0,1316.0,5199.0,2625.0,7304.0,4.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7629.0,0.0,195.0,0.0,0.0,0.0,8467.0,8658.0,7428.0,0.0,1917.0,0.0,0.0,0.0,0.0,0.0,6653.0,7148.0,7420.0,4.0
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6676.0,5079.0,467.0,0.0,2853.0,0.0,8909.0,483.0,0.0,0.0,0.0,0.0,9276.0,573.0,6942.0,5524.0,5488.0,7114.0,7424.0,4.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5252.0,0.0,0.0,0.0,0.0,0.0,5859.0,1415.0,0.0,0.0,0.0,0.0,8884.0,5266.0,0.0,5300.0,6876.0,2632.0,7410.0,4.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,0.0,8309.0,1390.0,0.0,219.0,683.0,4.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,193.0,0.0,538.0,0.0,5828.0,0.0,9026.0,3167.0,8833.0,0.0,0.0,0.0,8826.0,1210.0,7225.0,6515.0,6169.0,6976.0,7111.0,4.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7955.0,8529.0,1146.0,8888.0,8403.0,0.0,2800.0,416.0,724.0,0.0,0.0,177.0,1343.0,265.0,7029.0,5780.0,6902.0,7272.0,7111.0,4.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2254.0,0.0,2357.0,0.0,6996.0,2165.0,7679.0,1284.0,304.0,0.0,0.0,0.0,8986.0,161.0,8094.0,7331.0,6754.0,7194.0,7424.0,3.0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6068.0,9036.0,2680.0,780.0,7795.0,0.0,2801.0,0.0,177.0,0.0,0.0,359.0,0.0,293.0,6262.0,5549.0,5654.0,7192.0,7458.0,4.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5773.0,4844.0,1436.0,0.0,8153.0,303.0,7714.0,8115.0,0.0,2262.0,3184.0,5840.0,927.0,1372.0,6315.0,7013.0,3883.0,5203.0,7325.0,4.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,660.0,0.0,0.0,3412.0,4225.0,3824.0,1121.0,285.0,0.0,0.0,0.0,0.0,3432.0,1824.0,4019.0,7030.0,4065.0,4877.0,7442.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7008.0,7742.0,557.0,5860.0,8065.0,1320.0,5635.0,0.0,0.0,376.0,4057.0,1812.0,2592.0,265.0,7029.0,5780.0,6615.0,4890.0,7259.0,4.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5833.0,8772.0,0.0,0.0,940.0,0.0,2801.0,0.0,0.0,1899.0,1366.0,2246.0,185.0,1189.0,289.0,5734.0,4239.0,4573.0,7390.0,3.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,7076.0,8896.0,1800.0,0.0,2615.0,7338.0,3509.0,0.0,0.0,0.0,0.0,0.0,1420.0,874.0,6133.0,6723.0,6810.0,7305.0,7021.0,4.0
1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7789.0,5555.0,894.0,0.0,337.0,0.0,8778.0,1793.0,8436.0,0.0,0.0,0.0,1420.0,0.0,2135.0,3716.0,5449.0,6635.0,7263.0,4.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6108.0,2594.0,679.0,0.0,0.0,0.0,2637.0,0.0,0.0,0.0,0.0,0.0,9263.0,2436.0,6329.0,6733.0,7113.0,6935.0,7172.0,4.0
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7895.0,1106.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,783.0,2198.0,3582.0,4.0
1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6636.0,1292.0,4888.0,7778.0,6996.0,2165.0,7679.0,0.0,0.0,0.0,3509.0,0.0,9263.0,2436.0,0.0,6733.0,5250.0,7194.0,7259.0,4.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8289.0,9046.0,923.0,0.0,0.0,0.0,8244.0,3551.0,9403.0,0.0,838.0,0.0,0.0,0.0,0.0,897.0,6740.0,7146.0,7540.0,4.0
1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,6549.0,443.0,577.0,2314.0,1221.0,0.0,8737.0,9003.0,197.0,0.0,0.0,700.0,758.0,255.0,0.0,2944.0,7225.0,7245.0,7260.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,7574.0,8833.0,1250.0,593.0,7800.0,1994.0,8807.0,8238.0,685.0,0.0,0.0,0.0,1739.0,0.0,1097.0,6698.0,4654.0,7623.0,7768.0,4.0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6575.0,7229.0,0.0,0.0,7800.0,1994.0,7935.0,4978.0,3983.0,409.0,969.0,838.0,5474.0,165.0,8106.0,5370.0,5960.0,4830.0,7590.0,4.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5064.0,0.0,7967.0,0.0,6389.0,0.0,0.0,0.0,0.0,0.0,9314.0,2663.0,4498.0,6555.0,7113.0,7183.0,7590.0,4.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,7826.0,195.0,1497.0,9029.0,7414.0,0.0,8586.0,9331.0,1119.0,0.0,0.0,0.0,869.0,392.0,1648.0,6683.0,2620.0,3731.0,7206.0,3.0
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5963.0,1394.0,183.0,7778.0,2441.0,0.0,3955.0,446.0,5067.0,0.0,0.0,0.0,1418.0,0.0,0.0,5124.0,6327.0,6496.0,7164.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.0,255.0,0.0,2944.0,240.0,0.0,780.0,4.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5054.0,8756.0,1913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,1189.0,289.0,5734.0,6756.0,7086.0,6996.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2592.0,0.0,0.0,1122.0,154.0,0.0,227.0,2.0
1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,446.0,0.0,2801.0,1082.0,0.0,0.0,0.0,711.0,8833.0,5992.0,6738.0,7084.0,3158.0,2416.0,7443.0,4.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7915.0,161.0,557.0,0.0,7982.0,1320.0,6126.0,2462.0,0.0,0.0,0.0,0.0,709.0,0.0,7280.0,2737.0,3835.0,4890.0,7021.0,4.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9175.0,185.0,8138.0,5580.0,0.0,3199.0,7203.0,3.0
1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5715.0,7572.0,0.0,1671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5937.0,4664.0,0.0,5470.0,1753.0,3020.0,7538.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7325.0,286.0,0.0,7022.0,0.0,238.0,4236.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2801.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,0.0,0.0,0.0,1584.0,6136.0,1.0
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7749.0,9025.0,0.0,6384.0,7510.0,3824.0,1121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1648.0,6683.0,3808.0,6485.0,7518.0,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6845.0,1702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.0,972.0,2935.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7908.0,597.0,2371.0,3412.0,4225.0,0.0,690.0,0.0,0.0,1739.0,2637.0,5841.0,869.0,392.0,0.0,2907.0,5974.0,6543.0,7442.0,4.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6188.0,8833.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,6698.0,0.0,7623.0,7637.0,3.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,0.0,8284.0,1009.0,806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2861.0,7012.0,2501.0,2.0
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,933.0,1913.0,0.0,2339.0,0.0,0.0,0.0,0.0,206.0,0.0,665.0,0.0,5794.0,0.0,424.0,2126.0,4.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6464.0,4249.0,295.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,909.0,0.0,8113.0,3606.0,0.0,3347.0,7050.0,4.0
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7861.0,0.0,981.0,3327.0,7479.0,295.0,0.0,0.0,709.0,0.0,0.0,0.0,9377.0,6578.0,8341.0,6955.0,6931.0,7704.0,7775.0,4.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2061.0,8666.0,8188.0,0.0,1919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5518.0,6453.0,7259.0,2.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6524.0,0.0,981.0,0.0,191.0,0.0,0.0,0.0,709.0,207.0,0.0,1402.0,869.0,392.0,0.0,2907.0,5865.0,7704.0,7775.0,4.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,957.0,8581.0,1171.0,3577.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2186.0,1481.0,2277.0,7378.0,4.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,542.0,0.0,8369.0,0.0,2537.0,1082.0,0.0,0.0,0.0,0.0,6014.0,1524.0,4013.0,6796.0,1617.0,5370.0,7067.0,4.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7000.0,9063.0,722.0,0.0,0.0,0.0,8655.0,6696.0,9451.0,1370.0,3257.0,3383.0,0.0,665.0,0.0,5876.0,4100.0,7496.0,7164.0,4.0
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6077.0,0.0,0.0,5860.0,8065.0,303.0,8552.0,9074.0,295.0,0.0,0.0,0.0,927.0,1372.0,6315.0,7013.0,6732.0,7103.0,7182.0,3.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7050.0,0.0,389.0,0.0,0.0,0.0,8763.0,7875.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1532.0,7194.0,7291.0,4.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6867.0,881.0,635.0,0.0,0.0,0.0,2801.0,0.0,0.0,0.0,0.0,359.0,709.0,0.0,7280.0,2737.0,4662.0,6399.0,6984.0,1.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4354.0,0.0,272.0,0.0,8292.0,0.0,8014.0,3243.0,0.0,0.0,0.0,343.0,6085.0,2088.0,484.0,7201.0,6439.0,7167.0,7068.0,4.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5358.0,8875.0,1208.0,0.0,164.0,0.0,1995.0,357.0,0.0,0.0,0.0,0.0,8884.0,5266.0,0.0,5300.0,4016.0,5707.0,7410.0,3.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6446.0,1549.0,4793.0,0.0,7463.0,968.0,6262.0,0.0,0.0,0.0,4578.0,561.0,0.0,0.0,0.0,3602.0,7000.0,7141.0,7330.0,3.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6352.0,295.0,1581.0,0.0,0.0,0.0,9011.0,8819.0,8936.0,605.0,7005.0,1005.0,8882.0,3785.0,6165.0,6451.0,3490.0,6934.0,7378.0,4.0
